TOX-A	TOX-B	mGFP-A	mGFP-B
Gm23771	0	0	0	0
Gm27430	0	0	0	0
RP24-172B22.1	0	0	0	0
RP24-172B22.2	0	1	1	1
RP24-172B22.4	0	0	0	0
Phf3	2062	2060	1092	1806
RP24-172B22.6	0	0	8	0
RP23-471J16.2	13	16	0	1
Ptp4a1	1096	1008	519	767
AC153137.2	0	0	0	0
AC121911.1	0	0	0	0
AC121911.2	0	0	0	0
RP24-173I18.1	0	0	0	0
RP24-173I18.2	0	0	0	0
Gm27362	0	0	0	0
AC121888.2	0	0	0	0
RP24-421A2.2	0	0	0	0
RP24-421A2.1	0	0	0	0
Lgsn	0	0	0	0
Pih1d3	0	0	0	0
Gm26145	0	0	0	0
RP24-142M5.2	0	0	0	0
RP24-142M5.3	0	0	0	0
RP24-142M5.1	0	0	0	0
RP24-342F15.1	0	0	0	0
RP24-270O22.1	24	19	20	21
Gm23032	0	0	0	0
AC134327.1	0	0	0	0
Khdrbs2	1	0	0	0
Gm25814	0	0	0	0
RP23-109J14.2	0	0	0	0
RP23-109J14.3	0	0	0	0
RP23-109J14.5	0	0	0	0
RP24-390L20.1	0	0	0	0
RP24-390L20.5	0	0	0	0
RP24-390L20.3	0	0	0	0
Gm24732	0	0	0	0
RP23-28G12.2	0	0	0	0
Gm23024	0	0	0	0
RP23-144E24.1	0	0	0	0
RP23-75G11.1	0	0	0	0
RP23-75G11.4	0	0	0	0
RP23-75G11.2	17	11	6	15
RP23-75G11.3	1	0	0	0
Gm24901	0	0	0	0
RP23-154N2.3	0	0	0	0
RP23-154N2.2	0	0	0	0
Gm25792	0	0	0	0
RP23-443F6.1	0	0	0	0
RP23-125B4.2	0	1	0	0
Gm23453	0	0	0	0
Prim2	3037	2790	2381	2114
RP23-125B4.3	0	0	2	0
RP24-423J19.3	0	0	7	0
RP24-423J19.6	6	4	0	10
RP24-423J19.1	12	7	0	2
RP24-423J19.7	0	0	0	0
Rab23	492	489	435	518
Bag2	2697	2648	2156	2627
RP23-32P22.1	0	7	0	0
Zfp451	2514	2387	1365	2273
AC163668.5	7	11	13	6
Bend6	26	69	36	70
RP23-32P22.2	0	0	0	0
Dst	278	229	353	243
RP23-87D8.2	0	0	0	0
RP23-87D8.1	0	0	0	0
Gm23792	0	0	0	0
RP23-87D8.4	1	3	0	2
Mir6896	0	0	0	0
RP23-151I7.1	6	0	0	0
RP24-422C24.3	0	0	0	0
RP24-152H15.5	0	0	0	0
RP24-152H15.4	0	0	0	0
RP24-152H15.2	0	0	0	0
RP24-152H15.3	17	20	18	12
RP24-554B1.11	211	166	134	74
Mir5103	0	0	0	0
Ccdc115	5265	5229	5503	5980
RP24-554B1.1	3	9	6	7
Imp4	11995	11325	10643	11918
Ptpn18	3020	2481	4041	3498
RP24-554B1.10	58	70	114	86
RP24-554B1.5	88	51	65	49
Prss39	0	0	0	0
RP24-554B1.9	0	0	0	0
Cfc1	0	0	0	0
RP24-554B1.8	0	0	0	0
Prss40	0	0	0	0
RP24-70I14.1	0	0	0	0
Amer3	0	0	0	0
RP24-70I14.3	0	0	0	0
RP24-70I14.5	0	0	0	0
RP24-70I14.6	0	0	0	0
RP24-70I14.4	0	0	0	0
Arhgef4	228	375	250	320
RP23-166L24.2	0	0	0	0
RP23-348C6.5	0	0	0	0
RP23-348C6.3	9	8	1	31
Fam168b	2148	1956	1532	1737
RP23-348C6.1	0	0	0	2
Plekhb2	9463	8201	8572	6956
RP23-348C6.4	0	0	0	0
RP23-348C6.6	0	0	0	0
RP23-348C6.7	0	0	0	0
RP23-309D5.1	0	0	0	0
Gm25096	0	0	0	0
RP24-550I15.1	0	0	0	0
Gm25634	0	0	0	0
RP23-463E4.1	0	0	0	0
RP24-72B22.1	0	0	0	0
RP24-72B22.2	0	0	0	0
RP24-424K5.3	0	0	0	0
RP24-424K5.4	0	0	0	0
RP24-424K5.1	0	0	0	0
RP24-424K5.2	0	0	0	0
Hs6st1	34	104	154	123
RP24-424K5.5	0	0	0	0
RP23-173H19.3	15	1	2	12
Uggt1	11570	9913	8449	8061
Mir6897	0	0	0	0
Neurl3	4972	4013	3938	3275
